nombre;precio;stock;categoria
Portatil HP 15;649.99;15;Electronica
Camiseta Basica Algodon;19.99;100;Ropa
Silla Oficina Ergonomica;159.99;25;Hogar
Auriculares Bluetooth;89.99;50;Electronica
Pantalon Vaquero;45.50;60;Ropa
Lampara LED Escritorio;34.99;40;Hogar
Teclado Mecanico RGB;129.99;30;Electronica
Zapatillas Running;79.99;45;Ropa
Mesa Escritorio Roble;249.99;12;Hogar
Raton Inalambrico;25.99;80;Electronica
Sudadera Con Capucha;39.99;55;ropa
Estanteria Modular;119.99;18;Hogar
Monitor 27 Pulgadas;299.99;22;Electronica
Chaqueta Vaquera;69.99;35;Ropa
Alfombra Salon 200x300;89.99;20;Hogar
Tablet Android 10;199.99;28;Electronica
Vestido Verano Floral;34.99;70;Ropa
Espejo Pared Grande;79.99;15;Hogar
Webcam Full HD;59.99;42;Electronica
Camisa Manga Larga;29.99;65;Ropa
Cojines Decorativos Set 4;24.99;90;Hogar
Disco Duro Externo 2TB;89.99;38;Electronica
Calcetines Pack 6 Pares;14.99;120;Ropa
Cortinas Blackout;49.99;30;Hogar
Altavoz Bluetooth Portatil;45.99;55;Electronica
Gorra Deportiva;15.99;85;Ropa
Reloj Pared Moderno;29.99;48;Hogar
Cable HDMI 2m;12.99;95;Electronica
Bufanda Lana;22.99;52;Ropa
Macetero Ceramica Grande;34.99;25;Hogar
Cargador Inalambrico;39.99;60;Electronica
Jersey Cuello Alto;49.99;40;Ropa
Cuadro Decorativo Abstract;59.99;22;Hogar
Pendrive USB 64GB;19.99;75;Electronica
Pijama Dos Piezas;27.99;68;Ropa
Jarron Cristal Decorativo;44.99;28;Hogar
Adaptador USB-C Hub;34.99;50;Electronica
Cinturon Cuero;24.99;58;Ropa
Felpudo Entrada Casa;16.99;82;Hogar
Router WiFi 6;119.99;32;Electronica
Guantes Invierno;18.99;72;Ropa
Perchero Pie Madera;69.99;20;Hogar
Funda Portatil 15.6;29.99;65;Electronica
Mochila Urbana;54.99;45;Ropa
Organizador Cajones;21.99;55;Hogar
Bateria Externa 20000mAh;49.99;48;Electronica
Gafas Sol Polarizadas;39.99;62;Ropa
Cesta Almacenaje Mimbre;32.99;35;Hogar
Soporte Movil Coche;14.99;88;Electronica
Paraguas Automatico;19.99;70;Ropa